Date,Description,Category,Amount,Split,Tags
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE IL TOLLWAY-AUTOREPLENI,Public Transportation,-25.0,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PURCHASE PAYPAL *MY.COM,Other,-1.1,,
2/20/24,PLANET FIT CLUB FEES,Fitness,-25.32,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
2/20/24,INTERNATIONAL TRANSACTION FEE,Other,-0.03,,
